Date,Item,Monetary value,Quantity,Unit,Brand,Payee,Week
07/04/2017,Dinner,-7.00din,,,,Guitarra,14
07/04/2017,Taxi,-2.00din,,,,,14
08/04/2017,Biscuits,-1.18din,1,unit,Rolls,Carrefour,14
08/04/2017,Chocolate,-0.67din,2,unit,Duo,Carrefour,14
08/04/2017,Flour,-1.59din,1000,g,,Carrefour,14
08/04/2017,Mayonnaise,-3.81din,237,ml,Ducros,Carrefour,14
08/04/2017,Slice cheese,-1.44din,5,slices,L'andor,Carrefour,14
08/04/2017,Salami,-2.00din,400,g,Mazraa,Carrefour,14
08/04/2017,Sandwich bread,-1.35din,14,slices,,Carrefour,14
08/04/2017,Taxi,-1.10din,,,,,14
08/04/2017,Taxi,-0.55din,,,,,14
09/04/2017,Cigarettes,-0.90din,3,unit,,,15
09/04/2017,Sandwich,-4.50din,,,,,15
09/04/2017,Public transportation,-1.10din,,,,,15
09/04/2017,Public transportation,-0.65din,,,,,15
09/04/2017,Public transportation,-0.32din,,,,,15
09/04/2017,Trip,-10.00din,,,,,15
09/04/2017,Loan,30.00din,,,,,15
10/04/2017,Settle up loan,-30.00din,,,,,15
10/04/2017,Income,50.00din,,,,,15
10/04/2017,Parsley,0.27din,1,unit,,MG,15
10/04/2017,Butter,-0.99din,100,g,Délice,MG,15
10/04/2017,Slice cheese,-2.99din,10,slices,Président,MG,15
10/04/2017,Potatoes,-1.18din,520,g,,MG,15
10/04/2017,Yeast,-1.41din,1,package,,MG,15
10/04/2017,Sandwich,-5.40din,,,,Wood and rope,15
11/04/2017,Income,20.00din,,,,,15
11/04/2017,Ice cream,-3.00din,,,,Pistachio,15
11/04/2017,Public transportation,-0.32din,,,,,15
11/04/2017,Public transportation,-0.32din,,,,,15
11/04/2017,Food stamp,-0.20din,,,,,15
11/04/2017,Corn oil,-4.43din,1,L,Lesieur,Carrefour,15
12/04/2017,Cigarettes,-0.60din,2,,,,15
12/04/2017,Public transportation,-0.60din,,,,,15
12/04/2017,Public transportation,-1.60din,,,,,15
12/04/2017,Water,-1.00din,0.5,L,,Eric Kayser,15
12/04/2017,Coffee,-1.50din,,,,Eric Kayser,15
12/04/2017,Ice cream,-2.50din,,,,Parad'ice,15
12/04/2017,Tea,-0.50din,,,,,15
12/04/2017,Soda,-1.00din,,,,,15
13/04/2017,Sandwich,-4.00din,,,,Fatafeat,15
13/04/2017,Taxi,-1.30din,,,,,15
13/04/2017,Moelleux,-2.60din,,,,Pomme de Pain,15
13/04/2017,Taxi ,-1.95din,,,,,15
13/04/2017,Concert ticket,-3.00din,,,,,15
13/04/2017,Tea,-1.20din,2,,,,15
16/04/2017,Public transporation,-4.70din,,,,,16
16/04/2017,Taxi,-1.80din,,,,,16
16/04/2017,Taxi,-0.80din,,,,,16
16/04/2017,Paper towels,-0.88din,,,,,16
16/04/2017,Light bulb,-2.75din,0.5,unit,,,16
16/04/2017,Buttermilk,-0.90din,420,g,Natilait,,16
16/04/2017,Tea,-0.50din,,,,,16
16/04/2017,Bills,-15.45din,,,,,16
16/04/2017,Eggs,-2.25din,15,unit,,,16
16/04/2017,Curcumin,-0.31din,280,g,,MG,16
16/04/2017,Pepper,-0.26din,140,g,,MG,16
16/04/2017,Tomatoes,-0.92din,346,,,MG,16
16/04/2017,Romaine,-0.67din,,,,MG,16
16/04/2017,Potatoes,-0.45din,378,g,,MG,16
16/04/2017,Carrots,-0.32din,222,g,,MG,16
16/04/2017,Bread,-0.20din,,,,,16
16/04/2017,Income,50.00din,,,,,16
17/04/2017,Sandwich,-1.20din,,,,,16
17/04/2017,Cigarettes,-0.90din,3,,,,16
17/04/2017,Soda,-1.20din,500,ml,,,16
18/04/2017,Buiscuits,-1.56din,2,unit,Major,Carrefour,16
18/04/2017,Flour,-0.70din,1000,g,,Carrefour,16
18/04/2017,Buttermilk,-0.92din,450,g,Délice,Carrefour,16
18/04/2017,Chicken meat,-3.37din,255,g,,Carrefour,16
18/04/2017,Brik,-0.97din,10,sheets,,Carrefour,16
18/04/2017,Halwa,-1.09din,136,g,,Carrefour,16
18/04/2017,Onions,-0.69din,704,g,,Carrefour,16
18/04/2017,Pumpkin,-0.89din,321,g,,Carrefour,16
18/04/2017,Income,30.00din,,,,,16
18/04/2017,Donation,-1.00din,,,,,16
20/04/2017,Seeds ,-0.50din,,,,,16
20/04/2017,Bread,-0.20din,,,,,16
20/04/2017,Bananas,-2.60din,,,,,16
21/04/2017,Pizza,-5.80din,,,,PizzaOne,16
23/04/2017,Other,-3.60din,,,,,17
23/04/2017,Chicha,-1.25din,0.5,,,,17
24/04/2017,Dish soap,-1.31din,325,ml,,Pril,17
24/04/2017,Cayenne Pepper,-1.90din,,,,Carrefour,17
24/04/2017,Cheese,-2.76din,10,slices,Président,Carrefour,17
24/04/2017,Butter,-0.96din,100,g,Vitalait,Carrefour,17
24/04/2017,Yogurt,-0.72din,2,unit,Délice,Carrefour,17
24/04/2017,Salami,-1.94din,400,g,,Carrefour,17
24/04/2017,Pumpkin,-1.38din,374,g,,Carrefour,17
24/04/2017,Cucumber,-0.86din,338,g,,Carrefour,17
24/04/2017,Tomatoes,-0.88din,346,g,,Carrefour,17
,Mojito,-7.80din,2,,,,52
,Cigarettes,-0.90din,,,,,52
,Fondant ,-2.60din,,,,,52
,Phone bill ,-5.50din,,,,,52
,,2.20din,,,,,52
,,6.70din,,,,,52
,,,,,,,52
